"field_name","field_description"
"\"MinpH\",\"The minimum pH the membrane can handle.\""
"\"MinpH\",\"The minimum pH to which the cartridge can be exposed without becoming damaged.\""
"\"MinpHs\",\"For each member of Probes, the minimum pH the probe can measure.\""
"\"MismatchEnergy\",\"The nearest neighbor parameters for the Gibbs free energy of the destabilizing interaction between flat surfaces of unmatched adjacent bases at STP (37C,1ATM).\""
"\"MismatchEnthalpy\",\"The nearest neighbor parameters for the enthalpy of the destabilizing interaction between flat surfaces of unmatched adjacent bases.\""
"\"MismatchEntropy\",\"The nearest neighbor parameters for the entropy of the destabilizing interaction between flat surfaces of unmatched adjacent bases.\""
"\"MixTime\",\"The duration for which the stock solution is mixed following component combination and filling to volume with solvent.\""
"\"MixType\",\"The style of motion used to mix the stock solution following component combination and filling to volume with solvent.\""
"\"MixUntilDissolved\",\"Indicates if the stock solution is mixed in an attempt to completed dissolve any solid components following component combination and filling to volume with solvent.\""
"\"Mixer\",\"The mixer used to stir the solution as it is being degassed via the sparging method.\""
"\"Mixer\",\"The type of mixer the pump uses to combine buffers to generate the gradient. The mixer can be Dynamic: a stir bar or other actively powered process mixes the liquid coming from each source, or Static: the liquid is mixed by running the combined current through unmoving agitators.\""
"\"Mixer\",\"The type of mixer the pump uses to generate the gradient.\""
"\"MixtureNFPA\",\"The calculated NFPA of the media based on its components, or the explicitly defined NFPA if provided.\""
"\"MixtureNFPA\",\"The calculated NFPA of the stock solution based on its components, or the explicitly defined NFPA if provided.\""
"\"Mode\",\"Indicates if the instrument is capable of providing real time quantification (qPCR) or only end-point quantification (PCR).\""
"\"Mode\",\"List of the type(s) of sensor(s) used by the tachometer.\""
"\"Mode\",\"Type of analysis and/or processing the cytometer can perform (Sorting or Counting).\""
"\"Mode\",\"Type of capillary western instrument.\""
"\"Mode\",\"Type of fume hood it is.  Options include Benchtop for a standard hood, WalkIn for a large walk-in style hood, or Recirculating for a small unvented hood.\""
"\"Mode\",\"Type of incubator access.\""
"\"Mode\",\"Type of measurement's the balance is capable of performing.\""
"\"Mode\",\"Type of shaking the instrument provides.  Options include Swirling, Rocking, Rotating, or Orbital.\""
"\"ModelName\",\"The name of the model that specifies general information about this type of container.\""
"\"Model\",\"Theoretical model that this object is an instance of.\""
"\"Models\",\"The objects for which these pipetting parameters will be used as default unless they are directly specified in manipulation primitives.\""
"\"Modes\",\"Indicates if this electrochemical reactor model can be used for electrochemical reactions (ConstantVoltage, ConstantCurrent) or CyclicVoltammetry.\""
"\"Modes\",\"The types of images the microscope is capable of generating.\""
"\"Modes\",\"Type of cleaning cycles available to the autoclave.\""
"\"Modifications\",\"Contains parameters concerning custom monomers not included in the standard Alphabet of the the given Oligomer type, such as fluorescent labels, terminal functional groups, etc.\""
"\"ModuleCondition\",\"Describes the sterility and wetness status of the filter at the time of packaging.\""
"\"ModuleFamily\",\"The classification of the filter module based on its physical size.\""
"\"MolarExtinctions\",\"For each member of Wavelengths, the extinction coefficients, in the form: {{Oligomer Subset,Molar Extinction}..}.\""
"\"MolecularFormula\",\"Chemical formula of this molecule (e.g. H2O, NH2, etc.).\""
"\"MolecularWeightCutoff\",\"The largest molecular weight of particles which will dialyzed out by this dialysis container model.\""
"\"MolecularWeightCutoff\",\"The lowest molecular weight of particles which will filtered out by this filter model.\""
"\"MolecularWeightCutoff\",\"The smallest molecular weight of particles which will not diffuse across this membrane model.\""
"\"MolecularWeight\",\"The molecular weight of this molecule (the mass of one mole of the molecule).\""
"\"MoleculeAdjustment\",\"Changes to the molecular structure when the modification is incorporated into an oligomer.\""
"\"Molecule\",\"The chemical structure that represents this molecule.\""
"\"Molecule\",\"The molecular structure of the modification.\""
"\"MonochromatorBandpass\",\"Monochromator bandpass for absorbance filtering.\""
"\"MonomerMass\",\"For each member of Alphabet, the mass of each monomer subunit within the context of a larger oligomer chain.\""
"\"MonomerMolecule\",\"For each member of Alphabet, the monomer molecule within the context of a larger oligomer chain.\""
"\"MultipleLoopEnergy\",\"The Gibbs free energy contribution due to adjacent nucleotide separations of specific sizes at STP (37C,1ATM).\""
"\"NFPA\",\"The National Fire Protection Association (NFPA) 704 hazard diamond classification for the substance.\""
"\"NFPA\",\"The National Fire Protection Association (NFPA) 704 hazard diamond classification for this molecule.\""
"\"Name\",\"Name of this Object.\""
"\"NeckType\",\"The GPI/SPI Neck Finish designation of the cuvette used to determine the cap threading.\""
"\"NeckType\",\"The GPI/SPI Neck Finish designation of the vessel used to determine the cap threading.\""
"\"NeedleLength\",\"The length of the needle shaft measured from the end of the needle's hub to its tip.\""
"\"Neutralizer\",\"Acid neutralizing agent compatible with this instrument.\""
"\"NitrogenEvaporatorType\",\"The category of nitrogen blow down evaporator.\""
"\"NitrogenPressure\",\"The pressure of the nitrogen gas used for pressure pushing samples.\""
"\"NominalFlowRate\",\"The nominal flow rate at which the column performs.\""
"\"NominalParticleSize\",\"The manufacture designated size distribution of particles in the sample model.\""
"\"NotchPositions\",\"The location of any cut-out notches in the corners of the lid.\""
"\"NotchPositions\",\"The location of any diagonal cuts on the corners of the plate seal.\""
"\"NozzleDiameter\",\"The width of the tube where the liquid nitrogen exists the doser.\""
"\"NucleaseFree\",\"Indicates if this model of item is tested to be not contaminated with DNase and RNase by the manufacturer.\""
"\"NucleicAcidFree\",\"Indicates if this model of container is tested to be not contaminated with DNA and RNA by the manufacturer.\""
"\"NucleicAcidFree\",\"Indicates if this model of item is tested to be not contaminated with DNA and RNA by the manufacturer.\""
"\"NullMonomer\",\"The symbol which represents an empty placeholder site (backbone only, no monomer) at its specified position in a sequence.\""
"\"NumberOfBuckets\",\"The number of swinging buckets the rotor can hold.\""
"\"NumberOfBuffers\",\"The number of different Buffers that can be connected to the pump system. Refer to PumpType for the number of solvents that can actually be mixed simultaneously.\""
"\"NumberOfBuffers\",\"The number of different buffers that can be connected to the pump system. Refer to PumpType for the number of solvents that can actually be mixed simultaneously.\""
"\"NumberOfChannels\",\"The maximum number of channels that the Schlenk line can be configured to connect with to comply with the instrument requirements for the Freeze-Pump-Thaw Apparatus. This indicates how many samples can be run with Freeze-Pump-Thaw simultaneously.\""
"\"NumberOfChannels\",\"The maximum number of channels that the Schlenk line can be configured to connect with to comply with the instrument requirements for the Sparging Apparatus. This indicates how many samples can be run with sparging degassing simultaneously.\""
"\"NumberOfChannels\",\"The maximum number of channels that the Schlenk line can be configured to connect with to comply with the instrument requirements for the Vacuum Degasser. This indicates how many samples can be run with vacuum degassing simultaneously.\""
"\"NumberOfChannels\",\"The maximum number of channels that the Schlenk line can be configured to connect with. All channels connect out from the same manifold source, and will have available to them the same gas/vacuum connections for the Schlenk line. The openings to each individual channel is controlled by solenoid valves.\""
"\"NumberOfDetectorModules\",\"The number of separate detector modules that together comprise the detector surface.\""
"\"NumberOfFibers\",\"Describes how many filter tubes are bundled inside the filter module.\""
"\"NumberOfLanes\",\"The number of distinct samples that a single gel accommodates for separation.\""
"\"NumberOfMixes\",\"The number of times the stock solution is mixed by inversion or pipetting up and down following component combination and filling to volume with solvent.\""
"\"NumberOfPositions\",\"Number of positions in the rack that are capable of holding containers or samples.\""
"\"NumberOfReplicates\",\"The number of internal replicated measurements for each loaded sample provided by multiple glass nano reactors in the microfluidics channels inside this model of capillary ELISA cartridge.\""
"\"NumberOfTips\",\"The number of individual pipette tips included in tip samples of this model.\""
"\"NumberOfWells\",\"Number of individual wells the plate has.\""
"\"Object\",\"Object of this Object.\""
"\"ObjectiveMagnifications\",\"The objective magnifications available for this model of microscope.\""
"\"Objectives\",\"For each member of ObjectiveMagnifications, a viewing objective available for this model of microscope.\""
"\"Objectives\",\"The available objective lenses which set the factor by which the image is magnified. The objectives are used for focusing the excitation beam, Raman back-scattering, and optical images.\""
"\"Objects\",\"Objects that represent instances of this model.\""
"\"OligomerPhysics\",\"The physical model containing parameters for the oligomer that this extinction coefficient information is associated with.\""
